filepath,sensitivity,ppv,fmeasure
ibt-10-obt-2-hyb-0.1.fa,0.816666667,0.830508475,0.823529412
ibt-10-obt-2-hyb-0.08.fa,0.816666667,0.830508475,0.823529412
ibt-10-obt-2-hyb-0.06.fa,0.816666667,0.830508475,0.823529412
ibt-10-obt-2-hyb-0.04.fa,0.816666667,0.830508475,0.823529412
ibt-10-obt-1-hyb-0.5.fa,0.816666667,0.830508475,0.823529412
ibt-9-obt-2-hyb-0.1.fa,0.8,0.827586207,0.813559322
ibt-9-obt-2-hyb-0.08.fa,0.8,0.827586207,0.813559322
ibt-9-obt-2-hyb-0.06.fa,0.8,0.827586207,0.813559322
ibt-9-obt-2-hyb-0.04.fa,0.8,0.827586207,0.813559322
ibt-9-obt-1-hyb-0.5.fa,0.8,0.827586207,0.813559322
ibt-8-obt-2-hyb-0.1.fa,0.8,0.827586207,0.813559322
ibt-8-obt-2-hyb-0.08.fa,0.8,0.827586207,0.813559322
ibt-8-obt-2-hyb-0.06.fa,0.8,0.827586207,0.813559322
ibt-8-obt-2-hyb-0.04.fa,0.8,0.827586207,0.813559322
ibt-8-obt-1-hyb-0.5.fa,0.8,0.827586207,0.813559322
ibt-7-obt-2-hyb-0.1.fa,0.8,0.827586207,0.813559322
ibt-7-obt-2-hyb-0.08.fa,0.8,0.827586207,0.813559322
ibt-7-obt-2-hyb-0.06.fa,0.8,0.827586207,0.813559322
ibt-7-obt-2-hyb-0.04.fa,0.8,0.827586207,0.813559322
ibt-7-obt-1-hyb-0.5.fa,0.8,0.827586207,0.813559322
ibt-6-obt-2-hyb-0.1.fa,0.8,0.827586207,0.813559322
ibt-6-obt-2-hyb-0.08.fa,0.8,0.827586207,0.813559322
ibt-6-obt-2-hyb-0.06.fa,0.8,0.827586207,0.813559322
ibt-6-obt-2-hyb-0.04.fa,0.8,0.827586207,0.813559322
ibt-6-obt-1-hyb-0.5.fa,0.8,0.827586207,0.813559322
ibt-10-obt-1-hyb-0.4.fa,0.8,0.827586207,0.813559322
ibt-9-obt-1-hyb-0.4.fa,0.783333333,0.824561404,0.803418803
