gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
4.5,3.5,0.075,0.782608696,0.830769231,0.805970149
6,2.5,0.075,0.782608696,0.830769231,0.805970149
3,3,0.1,0.768115942,0.841269841,0.803030303
3.5,2.5,0.1,0.768115942,0.841269841,0.803030303
3.5,3,0.1,0.768115942,0.841269841,0.803030303
3,3.5,0.1,0.768115942,0.828125,0.796992481
3.5,3.5,0.075,0.768115942,0.828125,0.796992481
4,2.5,0.1,0.768115942,0.828125,0.796992481
4,3,0.075,0.768115942,0.828125,0.796992481
4,3.5,0.075,0.768115942,0.828125,0.796992481
2.5,2.5,0.133,0.753623188,0.838709677,0.79389313
4.5,3,0.075,0.768115942,0.815384615,0.791044776
5,2.5,0.075,0.768115942,0.815384615,0.791044776
5,3,0.075,0.768115942,0.815384615,0.791044776
6,3.5,0.05,0.768115942,0.815384615,0.791044776
7,3,0.05,0.768115942,0.815384615,0.791044776
7,3.5,0.05,0.768115942,0.815384615,0.791044776
8,2.5,0.05,0.768115942,0.815384615,0.791044776
8,3,0.05,0.768115942,0.815384615,0.791044776
8,3.5,0.04,0.768115942,0.815384615,0.791044776
2.5,3.5,0.1,0.753623188,0.825396825,0.787878788
3,2.5,0.075,0.753623188,0.825396825,0.787878788
3,2.5,0.1,0.753623188,0.825396825,0.787878788
3,2.5,0.133,0.753623188,0.825396825,0.787878788
3,3,0.075,0.753623188,0.825396825,0.787878788
3.5,2.5,0.075,0.753623188,0.825396825,0.787878788
3.5,3,0.075,0.753623188,0.825396825,0.787878788
3.5,4.5,0.075,0.768115942,0.803030303,0.785185185
2,2.5,0.166,0.710144928,0.875,0.784
10,2.5,0.04,0.782608696,0.782608696,0.782608696
10,3,0.04,0.782608696,0.782608696,0.782608696
3,3.5,0.075,0.753623188,0.8125,0.781954887
3.5,3.5,0.05,0.753623188,0.8125,0.781954887
4,2.5,0.075,0.753623188,0.8125,0.781954887
4,3,0.05,0.753623188,0.8125,0.781954887
4,3.5,0.05,0.753623188,0.8125,0.781954887
3.5,20,0.01,0.797101449,0.763888889,0.780141844
4,20,0.01,0.797101449,0.763888889,0.780141844
2.5,2.5,0.1,0.739130435,0.822580645,0.778625954
2.5,2.5,0.075,0.739130435,0.822580645,0.778625954
2.5,3,0.075,0.739130435,0.822580645,0.778625954
2.5,3,0.1,0.739130435,0.822580645,0.778625954
2.5,3,0.133,0.739130435,0.822580645,0.778625954
2,3,0.133,0.710144928,0.859649123,0.777777778
2.5,4,0.1,0.753623188,0.8,0.776119403
4.5,2.5,0.075,0.753623188,0.8,0.776119403
4.5,2.5,0.1,0.753623188,0.8,0.776119403
4.5,2.5,0.05,0.753623188,0.8,0.776119403
4.5,3,0.05,0.753623188,0.8,0.776119403
