filepath,sensitivity,ppv,fmeasure
ibt-6-obt-10-hyb-0.2.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.3.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.4.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.5.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.6.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.7.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.8.fa,0,NaN,NaN
ibt-6-obt-10-hyb-0.9.fa,0,NaN,NaN
ibt-6-obt-10-hyb-1.fa,0,NaN,NaN
ibt-7-obt-1-hyb-0.02.fa,0,NaN,NaN
ibt-7-obt-1-hyb-0.fa,0,NaN,NaN
previous.fa,0.724637681,0.769230769,0.746268657
ibt-8-obt-0.5-hyb-0.6.fa,0.608695652,0.823529412,0.7
ibt-8-obt-0.5-hyb-0.7.fa,0.608695652,0.823529412,0.7
ibt-8-obt-1-hyb-0.2.fa,0.608695652,0.823529412,0.7
ibt-8-obt-1-hyb-0.3.fa,0.608695652,0.823529412,0.7
ibt-3-obt-0.5-hyb-0.6.fa,0.579710145,0.869565217,0.695652174
ibt-3-obt-0.5-hyb-0.7.fa,0.579710145,0.869565217,0.695652174
ibt-3-obt-1-hyb-0.2.fa,0.579710145,0.869565217,0.695652174
ibt-3-obt-1-hyb-0.3.fa,0.579710145,0.869565217,0.695652174
ibt-5-obt-0.5-hyb-0.6.fa,0.594202899,0.836734694,0.694915254
ibt-5-obt-0.5-hyb-0.7.fa,0.594202899,0.836734694,0.694915254
ibt-5-obt-1-hyb-0.2.fa,0.594202899,0.836734694,0.694915254
ibt-5-obt-1-hyb-0.3.fa,0.594202899,0.836734694,0.694915254
ibt-6-obt-0.5-hyb-0.6.fa,0.594202899,0.836734694,0.694915254
ibt-6-obt-0.5-hyb-0.7.fa,0.594202899,0.836734694,0.694915254
ibt-6-obt-1-hyb-0.2.fa,0.594202899,0.836734694,0.694915254
ibt-6-obt-1-hyb-0.3.fa,0.594202899,0.836734694,0.694915254
ibt-7-obt-0.5-hyb-0.6.fa,0.594202899,0.836734694,0.694915254
ibt-7-obt-0.5-hyb-0.7.fa,0.594202899,0.836734694,0.694915254
ibt-7-obt-1-hyb-0.2.fa,0.594202899,0.836734694,0.694915254
ibt-7-obt-1-hyb-0.3.fa,0.594202899,0.836734694,0.694915254
ibt-10-obt-0.5-hyb-0.6.fa,0.608695652,0.79245283,0.68852459
ibt-10-obt-0.5-hyb-0.7.fa,0.608695652,0.79245283,0.68852459
ibt-10-obt-1-hyb-0.2.fa,0.608695652,0.79245283,0.68852459
ibt-10-obt-1-hyb-0.3.fa,0.608695652,0.79245283,0.68852459
ibt-9-obt-0.5-hyb-0.6.fa,0.608695652,0.79245283,0.68852459
ibt-9-obt-0.5-hyb-0.7.fa,0.608695652,0.79245283,0.68852459
ibt-9-obt-1-hyb-0.2.fa,0.608695652,0.79245283,0.68852459
ibt-9-obt-1-hyb-0.3.fa,0.608695652,0.79245283,0.68852459
ibt-4-obt-0.5-hyb-0.6.fa,0.579710145,0.833333333,0.683760684
ibt-4-obt-0.5-hyb-0.7.fa,0.579710145,0.833333333,0.683760684
ibt-4-obt-1-hyb-0.2.fa,0.579710145,0.833333333,0.683760684
ibt-4-obt-1-hyb-0.3.fa,0.579710145,0.833333333,0.683760684
ibt-8-obt-1-hyb-0.08.fa,0.594202899,0.803921569,0.683333333
ibt-8-obt-1-hyb-0.1.fa,0.594202899,0.803921569,0.683333333
ibt-3-obt-1-hyb-0.08.fa,0.565217391,0.847826087,0.67826087
ibt-3-obt-1-hyb-0.1.fa,0.565217391,0.847826087,0.67826087
ibt-5-obt-1-hyb-0.08.fa,0.579710145,0.816326531,0.677966102
ibt-5-obt-1-hyb-0.1.fa,0.579710145,0.816326531,0.677966102
ibt-6-obt-1-hyb-0.08.fa,0.579710145,0.816326531,0.677966102
ibt-6-obt-1-hyb-0.1.fa,0.579710145,0.816326531,0.677966102
ibt-7-obt-1-hyb-0.08.fa,0.579710145,0.816326531,0.677966102
ibt-7-obt-1-hyb-0.1.fa,0.579710145,0.816326531,0.677966102
ibt-10-obt-1-hyb-0.08.fa,0.594202899,0.773584906,0.672131148
ibt-10-obt-1-hyb-0.1.fa,0.594202899,0.773584906,0.672131148
ibt-9-obt-1-hyb-0.08.fa,0.594202899,0.773584906,0.672131148
ibt-9-obt-1-hyb-0.1.fa,0.594202899,0.773584906,0.672131148
ibt-4-obt-1-hyb-0.08.fa,0.565217391,0.8125,0.666666667
ibt-4-obt-1-hyb-0.1.fa,0.565217391,0.8125,0.666666667
ibt-8-obt-1-hyb-0.06.fa,0.579710145,0.784313725,0.666666667
ibt-8-obt-4-hyb-0.2.fa,0.623188406,0.716666667,0.666666667
ibt-5-obt-4-hyb-0.2.fa,0.608695652,0.724137931,0.661417323
ibt-6-obt-4-hyb-0.2.fa,0.608695652,0.724137931,0.661417323
ibt-7-obt-4-hyb-0.2.fa,0.608695652,0.724137931,0.661417323
ibt-3-obt-4-hyb-0.2.fa,0.594202899,0.745454545,0.661290323
ibt-5-obt-1-hyb-0.06.fa,0.565217391,0.795918367,0.661016949
ibt-6-obt-1-hyb-0.06.fa,0.565217391,0.795918367,0.661016949
