filepath,sensitivity,ppv,fmeasure
ibt-0.05-obt-0.05-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.05-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.1-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.15-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.2-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.25-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.3-hyb-1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.1.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.2.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.3.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.4.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.5.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.6.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.7.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.8.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.9.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-0.fa,0.0,NaN,NaN
ibt-0.05-obt-0.35-hyb-1.fa,0.0,NaN,NaN
