gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
10,1.5,0.02,0.627906977,0.931034483,0.75
10,1.5,0.01,0.627906977,0.931034483,0.75
10,1.5,0.04,0.627906977,0.931034483,0.75
10,1.5,0.05,0.627906977,0.931034483,0.75
10,1.5,0.075,0.627906977,0.931034483,0.75
10,1.5,0.1,0.627906977,0.931034483,0.75
10,1.5,0.133,0.627906977,0.931034483,0.75
10,1.5,0.166,0.627906977,0.931034483,0.75
10,1.5,0.2,0.627906977,0.931034483,0.75
10,1.5,0.233,0.627906977,0.931034483,0.75
10,1.5,0.266,0.627906977,0.931034483,0.75
10,1.5,0.3,0.627906977,0.931034483,0.75
10,1.5,0.35,0.627906977,0.931034483,0.75
10,1.5,0.4,0.627906977,0.931034483,0.75
10,1.5,0.45,0.627906977,0.931034483,0.75
10,1.5,0.5,0.627906977,0.931034483,0.75
10,1.5,0.6,0.627906977,0.931034483,0.75
10,1.5,0.75,0.627906977,0.931034483,0.75
10,1.5,2,0.627906977,0.931034483,0.75
10,1.5,1,0.627906977,0.931034483,0.75
10,1.5,5,0.627906977,0.931034483,0.75
10,2,0.01,0.627906977,0.9,0.739726027
10,2,0.02,0.627906977,0.9,0.739726027
10,2,0.04,0.627906977,0.9,0.739726027
10,2,0.05,0.627906977,0.9,0.739726027
10,2,0.133,0.627906977,0.9,0.739726027
10,2,0.1,0.627906977,0.9,0.739726027
10,2,0.166,0.627906977,0.9,0.739726027
10,2,0.075,0.627906977,0.9,0.739726027
10,2,0.2,0.627906977,0.9,0.739726027
10,2,0.233,0.627906977,0.9,0.739726027
10,2,0.266,0.627906977,0.9,0.739726027
10,2,0.3,0.627906977,0.9,0.739726027
10,2,0.35,0.627906977,0.9,0.739726027
10,2,0.45,0.627906977,0.9,0.739726027
10,2,0.4,0.627906977,0.9,0.739726027
10,2,0.5,0.627906977,0.9,0.739726027
10,2,0.6,0.627906977,0.9,0.739726027
10,2,0.75,0.627906977,0.9,0.739726027
10,2,1,0.627906977,0.9,0.739726027
10,2,2,0.627906977,0.9,0.739726027
10,2,5,0.627906977,0.9,0.739726027
10,2.5,0.01,0.627906977,0.9,0.739726027
10,2.5,0.02,0.627906977,0.9,0.739726027
10,2.5,0.05,0.627906977,0.9,0.739726027
10,2.5,0.04,0.627906977,0.9,0.739726027
10,2.5,0.075,0.627906977,0.9,0.739726027
10,2.5,0.1,0.627906977,0.9,0.739726027
10,2.5,0.2,0.627906977,0.9,0.739726027
10,2.5,0.133,0.627906977,0.9,0.739726027
10,2.5,0.166,0.627906977,0.9,0.739726027
10,2.5,0.233,0.627906977,0.9,0.739726027
10,2.5,0.266,0.627906977,0.9,0.739726027
10,2.5,0.4,0.627906977,0.9,0.739726027
10,2.5,0.35,0.627906977,0.9,0.739726027
10,2.5,0.45,0.627906977,0.9,0.739726027
10,2.5,0.3,0.627906977,0.9,0.739726027
10,2.5,0.75,0.627906977,0.9,0.739726027
10,2.5,1,0.627906977,0.9,0.739726027
