filepath,sensitivity,ppv,fmeasure
ibt-0.5-obt-0.5-hyb-0.02.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.04.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.06.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.08.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.1.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.2.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.3.fa,0,NaN,NaN
ibt-0.5-obt-0.5-hyb-0.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.02.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.04.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.06.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.08.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.1.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.2.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.3.fa,0,NaN,NaN
ibt-1-obt-0.5-hyb-0.fa,0,NaN,NaN
ibt-10-obt-0.5-hyb-0.7.fa,0.627906977,0.931034483,0.75
ibt-10-obt-0.5-hyb-0.8.fa,0.627906977,0.931034483,0.75
ibt-10-obt-0.5-hyb-0.9.fa,0.627906977,0.931034483,0.75
ibt-10-obt-1-hyb-0.3.fa,0.627906977,0.931034483,0.75
ibt-10-obt-1-hyb-0.4.fa,0.627906977,0.931034483,0.75
ibt-10-obt-1-hyb-0.5.fa,0.627906977,0.931034483,0.75
ibt-10-obt-1-hyb-0.6.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.02.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.04.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.06.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.08.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.1.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.2.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.3.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.4.fa,0.627906977,0.931034483,0.75
ibt-10-obt-2-hyb-0.fa,0.627906977,0.931034483,0.75
ibt-10-obt-3-hyb-0.2.fa,0.627906977,0.931034483,0.75
ibt-10-obt-3-hyb-0.3.fa,0.627906977,0.931034483,0.75
ibt-10-obt-3-hyb-0.02.fa,0.627906977,0.9,0.739726027
ibt-10-obt-3-hyb-0.04.fa,0.627906977,0.9,0.739726027
ibt-10-obt-3-hyb-0.06.fa,0.627906977,0.9,0.739726027
ibt-10-obt-3-hyb-0.08.fa,0.627906977,0.9,0.739726027
ibt-10-obt-3-hyb-0.1.fa,0.627906977,0.9,0.739726027
ibt-10-obt-3-hyb-0.fa,0.627906977,0.9,0.739726027
ibt-10-obt-4-hyb-0.2.fa,0.627906977,0.9,0.739726027
ibt-10-obt-0.5-hyb-0.5.fa,0.604651163,0.928571429,0.732394366
ibt-10-obt-0.5-hyb-0.6.fa,0.604651163,0.928571429,0.732394366
ibt-10-obt-1-hyb-0.2.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-0.5-hyb-0.7.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-0.5-hyb-0.8.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-0.5-hyb-0.9.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-1-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-1-hyb-0.4.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-1-hyb-0.5.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-1-hyb-0.6.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.02.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.04.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.06.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.08.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.1.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.2.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.4.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-2-hyb-0.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-3-hyb-0.2.fa,0.604651163,0.928571429,0.732394366
ibt-8-obt-3-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-0.5-hyb-0.7.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-0.5-hyb-0.8.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-0.5-hyb-0.9.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-1-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-1-hyb-0.4.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-1-hyb-0.5.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-1-hyb-0.6.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.02.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.04.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.06.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.08.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.1.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.2.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.4.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-2-hyb-0.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-3-hyb-0.2.fa,0.604651163,0.928571429,0.732394366
ibt-9-obt-3-hyb-0.3.fa,0.604651163,0.928571429,0.732394366
ibt-10-obt-0.5-hyb-1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-1-hyb-0.7.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-2-hyb-0.5.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-4-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.2.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-5-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-6-hyb-0.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.02.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.04.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.06.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.08.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.1.fa,0.627906977,0.870967742,0.72972973
ibt-10-obt-7-hyb-0.fa,0.627906977,0.870967742,0.72972973
