gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.5,0.5,0.01,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.05,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.04,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.02,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.075,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.133,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.166,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.1,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.2,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.233,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.35,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.3,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.266,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.4,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.5,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.45,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,2,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,1,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.75,0.06976744186046512,1.0,0.13043478260869565
0.5,0.5,0.6,0.06976744186046512,1.0,0.13043478260869565
0.5,1.0,0.01,0.18604651162790697,1.0,0.3137254901960785
0.5,0.5,5,0.06976744186046512,1.0,0.13043478260869565
0.5,1.0,0.02,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.05,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.04,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.075,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.133,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.166,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.1,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.2,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.233,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.266,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.3,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.35,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.45,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.4,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.5,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.6,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,1,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,0.75,0.18604651162790697,1.0,0.3137254901960785
0.5,1.0,2,0.18604651162790697,1.0,0.3137254901960785
0.5,1.5,0.02,0.20930232558139536,1.0,0.3461538461538462
0.5,1.0,5,0.18604651162790697,1.0,0.3137254901960785
0.5,1.5,0.01,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.05,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.04,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.1,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.133,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.075,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.233,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.266,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.2,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.166,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.3,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.35,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.4,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.5,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.45,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.6,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,1,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,0.75,0.20930232558139536,1.0,0.3461538461538462
0.5,2.0,0.02,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.075,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.01,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.04,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.05,0.20930232558139536,0.9,0.339622641509434
0.5,1.5,2,0.20930232558139536,1.0,0.3461538461538462
0.5,1.5,5,0.20930232558139536,1.0,0.3461538461538462
0.5,2.0,0.133,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.1,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.2,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.233,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.166,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.266,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.3,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.35,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.45,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.5,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.4,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.75,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,1,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,0.6,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,5,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.02,0.20930232558139536,0.9,0.339622641509434
0.5,2.0,2,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.01,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.04,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.05,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.075,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.1,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.133,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.166,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.2,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.233,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.266,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.3,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.5,0.20930232558139536,0.9,0.339622641509434
0.5,2.5,0.35,0.20930232558139536,0.9,0.339622641509434
