gamma_s,gamma_h,sensitivity,ppv,fmeasure
0.03125,0.03125,0.0,NaN,NaN
0.03125,0.0625,0.0,NaN,NaN
0.03125,0.125,0.0,NaN,NaN
0.03125,0.25,0.0,NaN,NaN
0.03125,0.5,0.0,NaN,NaN
0.03125,1.0,0.0,NaN,NaN
0.03125,2.0,0.07246376811594203,0.625,0.12987012987012989
0.03125,4.0,0.10144927536231885,0.3684210526315789,0.1590909090909091
0.03125,8.0,0.10144927536231885,0.2,0.1346153846153846
0.03125,16.0,0.10144927536231885,0.17073170731707318,0.12727272727272726
0.03125,64.0,0.10144927536231885,0.15555555555555556,0.12280701754385964
0.03125,32.0,0.10144927536231885,0.16279069767441862,0.125
0.03125,128.0,0.10144927536231885,0.15555555555555556,0.12280701754385964
0.03125,512.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.03125,256.0,0.10144927536231885,0.14893617021276595,0.12068965517241378
0.03125,1024.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.0625,0.03125,0.043478260869565216,1.0,0.08333333333333333
0.0625,0.0625,0.043478260869565216,1.0,0.08333333333333333
0.0625,0.125,0.043478260869565216,1.0,0.08333333333333333
0.0625,0.5,0.043478260869565216,1.0,0.08333333333333333
0.0625,0.25,0.043478260869565216,1.0,0.08333333333333333
0.0625,1.0,0.043478260869565216,1.0,0.08333333333333333
0.0625,2.0,0.11594202898550725,0.8,0.20253164556962025
0.0625,4.0,0.13043478260869565,0.45,0.20224719101123598
0.0625,8.0,0.13043478260869565,0.25,0.1714285714285714
0.0625,32.0,0.13043478260869565,0.20930232558139536,0.16071428571428573
0.0625,16.0,0.13043478260869565,0.21428571428571427,0.16216216216216214
0.0625,64.0,0.11594202898550725,0.17391304347826086,0.1391304347826087
0.0625,128.0,0.10144927536231885,0.15555555555555556,0.12280701754385964
0.0625,256.0,0.10144927536231885,0.14893617021276595,0.12068965517241378
0.0625,512.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.0625,1024.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.125,0.03125,0.07246376811594203,1.0,0.13513513513513511
0.125,0.0625,0.07246376811594203,1.0,0.13513513513513511
0.125,0.125,0.07246376811594203,1.0,0.13513513513513511
0.125,0.5,0.07246376811594203,1.0,0.13513513513513511
0.125,0.25,0.07246376811594203,1.0,0.13513513513513511
0.125,1.0,0.07246376811594203,1.0,0.13513513513513511
0.125,2.0,0.13043478260869565,1.0,0.23076923076923078
0.125,4.0,0.14492753623188406,0.5555555555555556,0.2298850574712644
0.125,8.0,0.14492753623188406,0.29411764705882354,0.19417475728155337
0.125,16.0,0.14492753623188406,0.24390243902439024,0.18181818181818185
0.125,32.0,0.13043478260869565,0.20930232558139536,0.16071428571428573
0.125,128.0,0.10144927536231885,0.15555555555555556,0.12280701754385964
0.125,64.0,0.11594202898550725,0.17391304347826086,0.1391304347826087
0.125,256.0,0.10144927536231885,0.14893617021276595,0.12068965517241378
0.125,512.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.125,1024.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.25,0.03125,0.07246376811594203,1.0,0.13513513513513511
0.25,0.0625,0.07246376811594203,1.0,0.13513513513513511
0.25,0.25,0.07246376811594203,1.0,0.13513513513513511
0.25,0.125,0.07246376811594203,1.0,0.13513513513513511
0.25,0.5,0.07246376811594203,1.0,0.13513513513513511
0.25,1.0,0.07246376811594203,1.0,0.13513513513513511
0.25,2.0,0.13043478260869565,1.0,0.23076923076923078
0.25,8.0,0.14492753623188406,0.29411764705882354,0.19417475728155337
0.25,4.0,0.14492753623188406,0.5555555555555556,0.2298850574712644
0.25,16.0,0.14492753623188406,0.24390243902439024,0.18181818181818185
0.25,32.0,0.13043478260869565,0.20930232558139536,0.16071428571428573
0.25,64.0,0.11594202898550725,0.17391304347826086,0.1391304347826087
0.25,128.0,0.10144927536231885,0.15555555555555556,0.12280701754385964
0.25,256.0,0.10144927536231885,0.14893617021276595,0.12068965517241378
0.25,512.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.25,1024.0,0.10144927536231885,0.14583333333333334,0.11965811965811966
0.5,0.03125,0.2028985507246377,0.875,0.32941176470588235
0.5,0.0625,0.2028985507246377,0.875,0.32941176470588235
0.5,0.125,0.2028985507246377,0.875,0.32941176470588235
0.5,0.25,0.2028985507246377,0.875,0.32941176470588235
0.5,0.5,0.2028985507246377,0.875,0.32941176470588235
0.5,1.0,0.2028985507246377,0.875,0.32941176470588235
0.5,2.0,0.2463768115942029,0.8947368421052632,0.38636363636363635
0.5,4.0,0.2608695652173913,0.72,0.38297872340425526
0.5,8.0,0.2608695652173913,0.5142857142857142,0.34615384615384615
0.5,16.0,0.2753623188405797,0.4523809523809524,0.3423423423423423
0.5,32.0,0.2463768115942029,0.34,0.28571428571428575
0.5,64.0,0.17391304347826086,0.23529411764705882,0.19999999999999998
0.5,128.0,0.15942028985507245,0.22,0.1848739495798319
0.5,256.0,0.15942028985507245,0.21153846153846154,0.18181818181818182
0.5,512.0,0.15942028985507245,0.21153846153846154,0.18181818181818182
0.5,1024.0,0.15942028985507245,0.21153846153846154,0.18181818181818182
1.0,0.03125,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,0.0625,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,0.125,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,0.25,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,0.5,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,1.0,0.4492753623188406,0.8157894736842105,0.5794392523364487
1.0,2.0,0.4927536231884058,0.8292682926829268,0.6181818181818182
1.0,4.0,0.5072463768115942,0.7446808510638298,0.603448275862069
1.0,8.0,0.5217391304347826,0.6923076923076923,0.5950413223140496
1.0,16.0,0.5797101449275363,0.7017543859649122,0.634920634920635
1.0,32.0,0.42028985507246375,0.4915254237288136,0.45312499999999994
1.0,64.0,0.391304347826087,0.4576271186440678,0.42187499999999994
1.0,128.0,0.2898550724637681,0.3389830508474576,0.31250000000000006
1.0,256.0,0.2898550724637681,0.32786885245901637,0.3076923076923077
1.0,512.0,0.2608695652173913,0.3050847457627119,0.28125
1.0,1024.0,0.21739130434782608,0.26785714285714285,0.24
2.0,0.0625,0.4782608695652174,0.825,0.6055045871559632
2.0,0.03125,0.4782608695652174,0.825,0.6055045871559632
2.0,0.25,0.4782608695652174,0.825,0.6055045871559632
2.0,0.125,0.4782608695652174,0.825,0.6055045871559632
2.0,0.5,0.4782608695652174,0.825,0.6055045871559632
2.0,1.0,0.4782608695652174,0.825,0.6055045871559632
2.0,2.0,0.5217391304347826,0.8372093023255814,0.6428571428571429
2.0,4.0,0.5362318840579711,0.7551020408163265,0.6271186440677967
2.0,8.0,0.5507246376811594,0.7037037037037037,0.6178861788617886
2.0,16.0,0.5652173913043478,0.6610169491525424,0.6093750000000001
2.0,32.0,0.4057971014492754,0.45901639344262296,0.4307692307692308
2.0,64.0,0.391304347826087,0.45,0.4186046511627907
2.0,256.0,0.2898550724637681,0.32786885245901637,0.3076923076923077
2.0,128.0,0.3188405797101449,0.36065573770491804,0.3384615384615384
2.0,1024.0,0.2463768115942029,0.29310344827586204,0.26771653543307083
2.0,512.0,0.2463768115942029,0.29310344827586204,0.26771653543307083
4.0,0.03125,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,0.0625,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,0.125,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,0.25,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,1.0,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,0.5,0.5217391304347826,0.782608695652174,0.6260869565217392
4.0,2.0,0.5652173913043478,0.8125,0.6666666666666667
4.0,4.0,0.5797101449275363,0.7407407407407407,0.6504065040650405
4.0,8.0,0.5942028985507246,0.6721311475409836,0.6307692307692307
4.0,16.0,0.5072463768115942,0.546875,0.5263157894736842
4.0,32.0,0.43478260869565216,0.46875,0.4511278195488722
4.0,128.0,0.2898550724637681,0.3389830508474576,0.31250000000000006
4.0,64.0,0.43478260869565216,0.46875,0.4511278195488722
4.0,256.0,0.2898550724637681,0.32786885245901637,0.3076923076923077
4.0,512.0,0.2463768115942029,0.29310344827586204,0.26771653543307083
4.0,1024.0,0.2463768115942029,0.29310344827586204,0.26771653543307083
8.0,0.03125,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,0.0625,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,0.125,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,0.25,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,0.5,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,1.0,0.5507246376811594,0.7755102040816326,0.6440677966101694
8.0,2.0,0.5942028985507246,0.803921568627451,0.6833333333333333
8.0,4.0,0.6231884057971014,0.7543859649122807,0.6825396825396826
8.0,8.0,0.5362318840579711,0.5692307692307692,0.5522388059701493
8.0,16.0,0.463768115942029,0.49230769230769234,0.47761194029850745
8.0,32.0,0.463768115942029,0.47761194029850745,0.47058823529411764
8.0,64.0,0.30434782608695654,0.3442622950819672,0.32307692307692315
8.0,256.0,0.2608695652173913,0.3050847457627119,0.28125
8.0,128.0,0.30434782608695654,0.3442622950819672,0.32307692307692315
8.0,512.0,0.2608695652173913,0.3,0.27906976744186046
8.0,1024.0,0.2608695652173913,0.3,0.27906976744186046
16.0,0.0625,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,0.03125,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,0.125,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,0.25,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,0.5,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,1.0,0.6376811594202898,0.7096774193548387,0.6717557251908397
16.0,2.0,0.6956521739130435,0.75,0.7218045112781954
16.0,4.0,0.6086956521739131,0.6363636363636364,0.6222222222222223
16.0,8.0,0.4782608695652174,0.4925373134328358,0.4852941176470588
16.0,16.0,0.4782608695652174,0.4782608695652174,0.4782608695652174
16.0,32.0,0.36231884057971014,0.373134328358209,0.36764705882352944
16.0,128.0,0.2753623188405797,0.3114754098360656,0.29230769230769227
16.0,64.0,0.3188405797101449,0.3384615384615385,0.32835820895522383
16.0,256.0,0.2753623188405797,0.30158730158730157,0.2878787878787879
16.0,512.0,0.2753623188405797,0.296875,0.2857142857142857
16.0,1024.0,0.2753623188405797,0.296875,0.2857142857142857
32.0,0.0625,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,0.03125,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,0.125,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,0.25,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
32.0,2.0,0.6521739130434783,0.6617647058823529,0.656934306569343
32.0,4.0,0.5797101449275363,0.6060606060606061,0.5925925925925926
32.0,8.0,0.4782608695652174,0.4925373134328358,0.4852941176470588
32.0,16.0,0.3188405797101449,0.3492063492063492,0.3333333333333333
32.0,32.0,0.3333333333333333,0.34328358208955223,0.338235294117647
32.0,64.0,0.2898550724637681,0.3125,0.30075187969924816
32.0,128.0,0.2898550724637681,0.3125,0.30075187969924816
32.0,512.0,0.2898550724637681,0.29850746268656714,0.29411764705882354
32.0,256.0,0.2898550724637681,0.30303030303030304,0.2962962962962963
32.0,1024.0,0.0,NaN,NaN
64.0,0.03125,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,0.0625,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,0.125,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,0.5,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,0.25,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,1.0,0.6811594202898551,0.6619718309859155,0.6714285714285715
64.0,2.0,0.6521739130434783,0.6617647058823529,0.656934306569343
64.0,4.0,0.5797101449275363,0.6060606060606061,0.5925925925925926
64.0,8.0,0.4782608695652174,0.4925373134328358,0.4852941176470588
64.0,16.0,0.3188405797101449,0.34375,0.3308270676691729
64.0,32.0,0.30434782608695654,0.328125,0.31578947368421056
64.0,64.0,0.2898550724637681,0.3125,0.30075187969924816
64.0,128.0,0.2898550724637681,0.3125,0.30075187969924816
64.0,256.0,0.2898550724637681,0.30303030303030304,0.2962962962962963
64.0,512.0,0.2898550724637681,0.29850746268656714,0.29411764705882354
64.0,1024.0,0.2898550724637681,0.29850746268656714,0.29411764705882354
128.0,0.03125,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,0.0625,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,0.125,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,0.25,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,0.5,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,1.0,0.6811594202898551,0.6351351351351351,0.6573426573426574
128.0,2.0,0.6521739130434783,0.6338028169014085,0.6428571428571428
128.0,4.0,0.5942028985507246,0.5942028985507246,0.5942028985507246
128.0,8.0,0.5217391304347826,0.4931506849315068,0.5070422535211269
128.0,32.0,0.34782608695652173,0.34285714285714286,0.34532374100719426
128.0,16.0,0.36231884057971014,0.35714285714285715,0.3597122302158273
128.0,64.0,0.3333333333333333,0.32857142857142857,0.33093525179856115
128.0,128.0,0.3333333333333333,0.32857142857142857,0.33093525179856115
128.0,256.0,0.3333333333333333,0.3194444444444444,0.3262411347517731
128.0,512.0,0.3333333333333333,0.3150684931506849,0.323943661971831
128.0,1024.0,0.0,NaN,NaN
256.0,0.03125,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,0.0625,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,0.125,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,0.25,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,0.5,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,1.0,0.6811594202898551,0.6103896103896104,0.6438356164383562
256.0,2.0,0.6521739130434783,0.6081081081081081,0.6293706293706294
256.0,4.0,0.5942028985507246,0.5694444444444444,0.5815602836879432
256.0,8.0,0.5217391304347826,0.4675324675324675,0.4931506849315068
256.0,16.0,0.36231884057971014,0.3424657534246575,0.352112676056338
256.0,32.0,0.34782608695652173,0.3287671232876712,0.3380281690140845
256.0,64.0,0.3333333333333333,0.3150684931506849,0.323943661971831
256.0,128.0,0.3333333333333333,0.3150684931506849,0.323943661971831
256.0,256.0,0.3333333333333333,0.30666666666666664,0.3194444444444445
