gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.0,0.0,0.1,0.0,NaN,NaN
0.0,0.0,0.3,0.0,NaN,NaN
0.0,0.0,0.5,0.0,NaN,NaN
0.0,0.0,0.7,0.0,NaN,NaN
0.0,0.0,0.9,0.0,NaN,NaN
0.01,0.01,0.1,0.9,0.6835443037974683,0.776978417266187
0.01,0.01,0.3,0.9,0.6835443037974683,0.776978417266187
0.01,0.01,0.5,0.8833333333333333,0.6625,0.7571428571428571
0.01,0.01,0.7,0.8166666666666667,0.5975609756097561,0.6901408450704226
0.01,0.01,0.9,0.7833333333333333,0.5802469135802469,0.6666666666666667
0.01,0.05,0.1,0.9,0.6835443037974683,0.776978417266187
0.01,0.05,0.3,0.9,0.6835443037974683,0.776978417266187
0.01,0.05,0.5,0.8833333333333333,0.6625,0.7571428571428571
0.01,0.05,0.7,0.8166666666666667,0.5975609756097561,0.6901408450704226
0.01,0.05,0.9,0.7833333333333333,0.5802469135802469,0.6666666666666667
0.01,0.1,0.1,0.9,0.6835443037974683,0.776978417266187
0.01,0.1,0.3,0.9,0.6835443037974683,0.776978417266187
0.01,0.1,0.5,0.8833333333333333,0.6625,0.7571428571428571
0.01,0.1,0.7,0.8166666666666667,0.5975609756097561,0.6901408450704226
0.01,0.1,0.9,0.7833333333333333,0.5802469135802469,0.6666666666666667
0.01,0.2,0.1,0.9,0.6835443037974683,0.776978417266187
0.01,0.2,0.3,0.9,0.6835443037974683,0.776978417266187
0.01,0.2,0.5,0.8833333333333333,0.6625,0.7571428571428571
0.01,0.2,0.7,0.8166666666666667,0.5975609756097561,0.6901408450704226
0.01,0.2,0.9,0.7833333333333333,0.5802469135802469,0.6666666666666667
0.01,0.3,0.1,0.9,0.6835443037974683,0.776978417266187
0.01,0.3,0.3,0.9,0.6835443037974683,0.776978417266187
0.01,0.3,0.5,0.8833333333333333,0.6625,0.7571428571428571
0.01,0.3,0.7,0.8166666666666667,0.5975609756097561,0.6901408450704226
0.01,0.3,0.9,0.7833333333333333,0.5802469135802469,0.6666666666666667
0.01,0.4,0.1,0.9,0.6923076923076923,0.7826086956521738
0.01,0.4,0.3,0.9,0.6923076923076923,0.7826086956521738
0.01,0.4,0.5,0.8833333333333333,0.6708860759493671,0.762589928057554
0.01,0.4,0.7,0.8166666666666667,0.6049382716049383,0.6950354609929078
0.01,0.4,0.9,0.7833333333333333,0.5875,0.6714285714285714
0.05,0.01,0.1,0.9,0.75,0.8181818181818182
0.05,0.01,0.3,0.9,0.75,0.8181818181818182
0.05,0.01,0.5,0.8833333333333333,0.726027397260274,0.7969924812030076
0.05,0.01,0.7,0.8166666666666667,0.6533333333333333,0.725925925925926
0.05,0.01,0.9,0.7833333333333333,0.6351351351351351,0.7014925373134329
0.05,0.05,0.1,0.9,0.75,0.8181818181818182
0.05,0.05,0.3,0.9,0.75,0.8181818181818182
0.05,0.05,0.5,0.8833333333333333,0.726027397260274,0.7969924812030076
0.05,0.05,0.7,0.8166666666666667,0.6533333333333333,0.725925925925926
0.05,0.05,0.9,0.7833333333333333,0.6351351351351351,0.7014925373134329
