gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.01,0.01,0.9,0.6666666666666666,0.5679012345679012,0.6133333333333333
0.01,0.05,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.01,0.05,0.5,0.8115942028985508,0.6511627906976745,0.7225806451612903
0.01,0.05,0.3,0.8260869565217391,0.7037037037037037,0.76
0.01,0.01,0.3,0.8260869565217391,0.6951219512195121,0.7549668874172186
0.01,0.01,0.7,0.7536231884057971,0.6046511627906976,0.6709677419354838
0.01,0.01,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.01,0.01,0.5,0.8115942028985508,0.6436781609195402,0.7179487179487178
0.05,0.05,0.7,0.7536231884057971,0.6341463414634146,0.6887417218543047
0.05,0.01,0.5,0.8115942028985508,0.6666666666666666,0.7320261437908496
0.05,0.4,0.3,0.8260869565217391,0.7402597402597403,0.7808219178082192
0.1,0.01,0.5,0.8115942028985508,0.691358024691358,0.7466666666666666
0.1,0.3,0.1,0.7971014492753623,0.7534246575342466,0.7746478873239437
0.01,0.1,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.01,0.05,0.9,0.6666666666666666,0.5822784810126582,0.6216216216216217
0.01,0.05,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.01,0.1,0.3,0.8260869565217391,0.7037037037037037,0.76
0.01,0.1,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.01,0.2,0.9,0.6666666666666666,0.5822784810126582,0.6216216216216217
0.01,0.3,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.01,0.4,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.01,0.2,0.7,0.7536231884057971,0.6190476190476191,0.6797385620915033
0.01,0.2,0.5,0.8115942028985508,0.6511627906976745,0.7225806451612903
0.01,0.1,0.9,0.6666666666666666,0.5822784810126582,0.6216216216216217
0.01,0.4,0.3,0.8260869565217391,0.7037037037037037,0.76
0.01,0.2,0.1,0.7971014492753623,0.6875,0.7382550335570469
0.01,0.4,0.5,0.8115942028985508,0.6511627906976745,0.7225806451612903
0.01,0.3,0.3,0.8260869565217391,0.7037037037037037,0.76
0.05,0.3,0.5,0.8115942028985508,0.6829268292682927,0.7417218543046358
0.01,0.4,0.9,0.6666666666666666,0.5822784810126582,0.6216216216216217
0.05,0.1,0.5,0.8115942028985508,0.6829268292682927,0.7417218543046358
0.05,0.1,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
0.01,0.3,0.5,0.8115942028985508,0.6511627906976745,0.7225806451612903
0.05,0.3,0.3,0.8260869565217391,0.7402597402597403,0.7808219178082192
0.05,0.1,0.7,0.7536231884057971,0.6341463414634146,0.6887417218543047
0.05,0.01,0.3,0.8260869565217391,0.7215189873417721,0.7702702702702703
0.05,0.3,0.1,0.7971014492753623,0.7236842105263158,0.7586206896551724
0.05,0.05,0.9,0.6666666666666666,0.5974025974025974,0.6301369863013698
