gamma_s,gamma_h,alpha,sensitivity,ppv,fmeasure
0.01,0.3,0.3,0.9069767441860465,0.6,0.7222222222222222
0.05,0.01,0.7,0.7441860465116279,0.49230769230769234,0.5925925925925926
0.05,0.2,0.1,0.9302325581395349,0.6779661016949152,0.7843137254901962
0.05,0.4,0.5,0.7906976744186046,0.6181818181818182,0.693877551020408
0.1,0.05,0.9,0.6976744186046512,0.46875,0.5607476635514019
0.01,0.01,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.01,0.01,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.01,0.5,0.7674418604651163,0.5076923076923077,0.611111111111111
0.01,0.01,0.9,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.05,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.05,0.9,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.05,0.5,0.7674418604651163,0.5238095238095238,0.6226415094339623
0.01,0.1,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.01,0.05,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.01,0.2,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.1,0.9,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.05,0.7,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.1,0.7,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.01,0.7,0.6976744186046512,0.45454545454545453,0.5504587155963303
0.01,0.1,0.5,0.7674418604651163,0.5238095238095238,0.6226415094339623
0.01,0.2,0.7,0.6976744186046512,0.46153846153846156,0.5555555555555556
0.01,0.1,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.3,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.4,0.1,0.9302325581395349,0.6557377049180327,0.7692307692307692
0.01,0.3,0.7,0.6976744186046512,0.46153846153846156,0.5555555555555556
0.01,0.4,0.3,0.9069767441860465,0.6,0.7222222222222222
0.01,0.4,0.5,0.7906976744186046,0.5396825396825397,0.6415094339622641
0.01,0.3,0.9,0.6976744186046512,0.46153846153846156,0.5555555555555556
0.01,0.2,0.3,0.9069767441860465,0.6,0.7222222222222222
0.05,0.01,0.1,0.9302325581395349,0.6666666666666666,0.7766990291262136
0.05,0.05,0.9,0.6976744186046512,0.46875,0.5607476635514019
0.05,0.01,0.5,0.7674418604651163,0.5076923076923077,0.611111111111111
0.05,0.05,0.5,0.7674418604651163,0.5238095238095238,0.6226415094339623
0.05,0.05,0.7,0.6976744186046512,0.46875,0.5607476635514019
0.01,0.2,0.5,0.7674418604651163,0.5076923076923077,0.611111111111111
0.05,0.05,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.05,0.05,0.1,0.9302325581395349,0.6666666666666666,0.7766990291262136
0.05,0.1,0.5,0.7674418604651163,0.5238095238095238,0.6226415094339623
0.05,0.2,0.7,0.6976744186046512,0.47619047619047616,0.5660377358490566
0.05,0.1,0.9,0.6976744186046512,0.46875,0.5607476635514019
0.05,0.2,0.9,0.6976744186046512,0.47619047619047616,0.5660377358490566
0.05,0.2,0.5,0.7674418604651163,0.5409836065573771,0.6346153846153847
0.05,0.3,0.1,0.9302325581395349,0.7017543859649122,0.8
0.05,0.3,0.3,0.9069767441860465,0.6610169491525424,0.7647058823529412
0.05,0.3,0.9,0.6976744186046512,0.4918032786885246,0.5769230769230769
0.01,0.2,0.9,0.6976744186046512,0.46153846153846156,0.5555555555555556
0.1,0.01,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.05,0.4,0.9,0.6976744186046512,0.5172413793103449,0.594059405940594
0.05,0.4,0.3,0.9069767441860465,0.6842105263157895,0.78
0.1,0.01,0.5,0.7674418604651163,0.5076923076923077,0.611111111111111
0.1,0.01,0.7,0.7441860465116279,0.49230769230769234,0.5925925925925926
0.1,0.05,0.7,0.6976744186046512,0.46875,0.5607476635514019
0.1,0.1,0.7,0.6976744186046512,0.46875,0.5607476635514019
0.01,0.3,0.5,0.7674418604651163,0.5076923076923077,0.611111111111111
0.1,0.05,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.1,0.01,0.1,0.9302325581395349,0.6666666666666666,0.7766990291262136
0.1,0.1,0.3,0.9069767441860465,0.6190476190476191,0.7358490566037736
0.1,0.1,0.9,0.6976744186046512,0.46875,0.5607476635514019
0.1,0.2,0.1,0.9302325581395349,0.6779661016949152,0.7843137254901962
