gamma_s,gamma_h,sensitivity,ppv,fmeasure
0.03125,0.03125,0,NaN,NaN
0.03125,0.0625,0,NaN,NaN
0.03125,0.125,0,NaN,NaN
0.03125,0.25,0,NaN,NaN
0.03125,0.5,0,NaN,NaN
0.03125,1,0,NaN,NaN
0.03125,2,0.072463768,0.625,0.12987013
0.03125,4,0.101449275,0.368421053,0.159090909
0.03125,8,0.101449275,0.2,0.134615385
0.03125,16,0.101449275,0.170731707,0.127272727
0.03125,32,0.101449275,0.162790698,0.125
0.03125,64,0.101449275,0.155555556,0.122807018
0.03125,128,0.101449275,0.155555556,0.122807018
0.03125,256,0.101449275,0.14893617,0.120689655
0.03125,512,0.101449275,0.145833333,0.11965812
0.03125,1024,0.101449275,0.145833333,0.11965812
0.0625,0.03125,0.043478261,1,0.083333333
0.0625,0.0625,0.043478261,1,0.083333333
0.0625,0.125,0.043478261,1,0.083333333
0.0625,0.25,0.043478261,1,0.083333333
0.0625,0.5,0.043478261,1,0.083333333
0.0625,1,0.043478261,1,0.083333333
0.0625,2,0.115942029,0.8,0.202531646
0.0625,4,0.130434783,0.45,0.202247191
0.0625,8,0.130434783,0.25,0.171428571
0.0625,16,0.130434783,0.214285714,0.162162162
0.0625,32,0.130434783,0.209302326,0.160714286
0.0625,64,0.115942029,0.173913043,0.139130435
0.0625,128,0.101449275,0.155555556,0.122807018
0.0625,256,0.101449275,0.14893617,0.120689655
0.0625,512,0.101449275,0.145833333,0.11965812
0.0625,1024,0.101449275,0.145833333,0.11965812
0.125,0.03125,0.072463768,1,0.135135135
0.125,0.0625,0.072463768,1,0.135135135
0.125,0.125,0.072463768,1,0.135135135
0.125,0.25,0.072463768,1,0.135135135
0.125,0.5,0.072463768,1,0.135135135
0.125,1,0.072463768,1,0.135135135
0.125,2,0.130434783,1,0.230769231
0.125,4,0.144927536,0.555555556,0.229885057
0.125,8,0.144927536,0.294117647,0.194174757
0.125,16,0.144927536,0.243902439,0.181818182
0.125,32,0.130434783,0.209302326,0.160714286
0.125,64,0.115942029,0.173913043,0.139130435
0.125,128,0.101449275,0.155555556,0.122807018
0.125,256,0.101449275,0.14893617,0.120689655
0.125,512,0.101449275,0.145833333,0.11965812
0.125,1024,0.101449275,0.145833333,0.11965812
0.25,0.03125,0.072463768,1,0.135135135
0.25,0.0625,0.072463768,1,0.135135135
0.25,0.125,0.072463768,1,0.135135135
0.25,0.25,0.072463768,1,0.135135135
0.25,0.5,0.072463768,1,0.135135135
0.25,1,0.072463768,1,0.135135135
0.25,2,0.130434783,1,0.230769231
0.25,4,0.144927536,0.555555556,0.229885057
0.25,8,0.144927536,0.294117647,0.194174757
0.25,16,0.144927536,0.243902439,0.181818182
0.25,32,0.130434783,0.209302326,0.160714286
0.25,64,0.115942029,0.173913043,0.139130435
0.25,128,0.101449275,0.155555556,0.122807018
0.25,256,0.101449275,0.14893617,0.120689655
0.25,512,0.101449275,0.145833333,0.11965812
0.25,1024,0.101449275,0.145833333,0.11965812
0.5,0.03125,0.202898551,0.875,0.329411765
0.5,0.0625,0.202898551,0.875,0.329411765
0.5,0.125,0.202898551,0.875,0.329411765
0.5,0.25,0.202898551,0.875,0.329411765
0.5,0.5,0.202898551,0.875,0.329411765
0.5,1,0.202898551,0.875,0.329411765
0.5,2,0.246376812,0.894736842,0.386363636
0.5,4,0.260869565,0.72,0.382978723
0.5,8,0.260869565,0.514285714,0.346153846
0.5,16,0.275362319,0.452380952,0.342342342
0.5,32,0.246376812,0.34,0.285714286
0.5,64,0.173913043,0.235294118,0.2
0.5,128,0.15942029,0.22,0.18487395
0.5,256,0.15942029,0.211538462,0.181818182
0.5,512,0.15942029,0.211538462,0.181818182
0.5,1024,0.15942029,0.211538462,0.181818182
