gamma_s,gamma_h,sensitivity,ppv,fmeasure
0.03125,0.03125,0,NaN,NaN
0.03125,0.0625,0,NaN,NaN
0.03125,0.125,0,NaN,NaN
0.03125,0.25,0,NaN,NaN
0.03125,0.5,0,NaN,NaN
0.03125,1,0.162790698,1,0.28
0.03125,2,0.209302326,1,0.346153846
0.03125,4,0.209302326,0.818181818,0.333333333
0.03125,8,0.209302326,0.818181818,0.333333333
0.03125,16,0.209302326,0.409090909,0.276923077
0.03125,32,0.209302326,0.272727273,0.236842105
0.03125,64,0.209302326,0.2,0.204545455
0.03125,128,0.209302326,0.169811321,0.1875
0.03125,256,0.209302326,0.155172414,0.178217822
0.03125,512,0.209302326,0.15,0.174757282
0.03125,1024,0.209302326,0.15,0.174757282
0.0625,0.03125,0,NaN,NaN
0.0625,0.0625,0,NaN,NaN
0.0625,0.125,0,NaN,NaN
0.0625,0.25,0,NaN,NaN
0.0625,0.5,0,NaN,NaN
0.0625,1,0.162790698,1,0.28
0.0625,2,0.209302326,1,0.346153846
0.0625,4,0.209302326,0.818181818,0.333333333
0.0625,8,0.209302326,0.818181818,0.333333333
0.0625,16,0.209302326,0.409090909,0.276923077
0.0625,32,0.209302326,0.272727273,0.236842105
0.0625,64,0.209302326,0.2,0.204545455
0.0625,128,0.209302326,0.169811321,0.1875
0.0625,256,0.209302326,0.155172414,0.178217822
0.0625,512,0.209302326,0.15,0.174757282
0.0625,1024,0.209302326,0.15,0.174757282
0.125,0.03125,0,NaN,NaN
0.125,0.0625,0,NaN,NaN
0.125,0.125,0,NaN,NaN
0.125,0.25,0,NaN,NaN
0.125,0.5,0,NaN,NaN
0.125,1,0.162790698,1,0.28
0.125,2,0.209302326,1,0.346153846
0.125,4,0.209302326,0.818181818,0.333333333
0.125,8,0.209302326,0.818181818,0.333333333
0.125,16,0.209302326,0.409090909,0.276923077
0.125,32,0.209302326,0.272727273,0.236842105
0.125,64,0.209302326,0.2,0.204545455
0.125,128,0.209302326,0.169811321,0.1875
0.125,256,0.209302326,0.155172414,0.178217822
0.125,512,0.209302326,0.15,0.174757282
0.125,1024,0.209302326,0.15,0.174757282
0.25,0.03125,0,NaN,NaN
0.25,0.0625,0,NaN,NaN
0.25,0.125,0,NaN,NaN
0.25,0.25,0,NaN,NaN
0.25,0.5,0,NaN,NaN
0.25,1,0.162790698,1,0.28
0.25,2,0.209302326,1,0.346153846
0.25,4,0.209302326,0.818181818,0.333333333
0.25,8,0.209302326,0.818181818,0.333333333
0.25,16,0.209302326,0.409090909,0.276923077
0.25,32,0.209302326,0.272727273,0.236842105
0.25,64,0.209302326,0.2,0.204545455
0.25,128,0.209302326,0.169811321,0.1875
0.25,256,0.209302326,0.155172414,0.178217822
0.25,512,0.209302326,0.15,0.174757282
0.25,1024,0.209302326,0.15,0.174757282
0.5,0.03125,0,NaN,NaN
0.5,0.0625,0,NaN,NaN
0.5,0.125,0,NaN,NaN
0.5,0.25,0,NaN,NaN
0.5,0.5,0,NaN,NaN
0.5,1,0.162790698,1,0.28
0.5,2,0.209302326,1,0.346153846
0.5,4,0.209302326,0.818181818,0.333333333
0.5,8,0.209302326,0.818181818,0.333333333
0.5,16,0.209302326,0.409090909,0.276923077
0.5,32,0.209302326,0.272727273,0.236842105
0.5,64,0.209302326,0.2,0.204545455
0.5,128,0.209302326,0.169811321,0.1875
0.5,256,0.209302326,0.155172414,0.178217822
0.5,512,0.209302326,0.15,0.174757282
0.5,1024,0.209302326,0.15,0.174757282
1,0.03125,0,NaN,NaN
1,0.0625,0,NaN,NaN
1,0.125,0,NaN,NaN
1,0.25,0,NaN,NaN
1,0.5,0,NaN,NaN
1,1,0.162790698,1,0.28
1,2,0.209302326,1,0.346153846
1,4,0.209302326,0.818181818,0.333333333
